Number,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer,Explanation
1,"""What is the landmark for identifying the cricothyroid membrane?""",Hyoid bone,Thyroid cartilage,Cricoid cartilage,Tracheal rings,B,The cricothyroid membrane is located between the thyroid and cricoid cartilages.
2,"""Which vessel is NOT typically visible during a central venous catheter placement via the internal jugular vein approach?""",External jugular vein,Internal jugular vein,Carotid artery,Subclavian vein,D,The subclavian vein is not typically visible during this procedure and is approached differently.
3,"""Which nerve block PRIMARILY targets the nerves emerging from the superficial cervical plexus?""",Interscalene block,Supraclavicular block,Superficial cervical plexus block,Deep cervical plexus block,C,A superficial cervical plexus block is used to anesthetize the cutaneous nerves of the neck.
4,"""Identification of Chassaignac’s tubercle is crucial for which regional anesthesia technique?""",Thoracic epidural,Cervical plexus block,Stellate ganglion block,Lumbar puncture,C,Chassaignac’s tubercle serves as a landmark for stellate ganglion block.
5,"""Where is the thoracic duct MOST likely to be injured during surgical procedures?""",At the diaphragm level,In the abdominal cavity,In the neck,At the level of the clavicle,D,The thoracic duct is at greatest risk of injury where it crosses the clavicle.
6,"""Which anatomical landmark is used to identify the vertebral level for a lumbar puncture?""",Iliac crest,Vertebra prominens,Xiphoid process,Pubic symphysis,A,"The iliac crest is used to identify the L4-L5 vertebral level, ideal for lumbar puncture."
7,"""Which lobe of the lung is accessed through the midaxillary line during a thoracentesis?""",Right middle lobe,Right lower lobe,Left upper lobe,Left lower lobe,B,The right lower lobe can be accessed without traversing major structures in this location.
8,"""During a caudal block, the needle is advanced toward which landmark?""",Sacrococcygeal ligament,Coccyx,Sacral hiatus,Lumbosacral ligament,C,The sacral hiatus is the entry point for the caudal epidural space in a caudal block.
9,"""Which cardiac landmark is used as a reference for placing an apex beat?""",Sternum,Left midclavicular line,Right sternal border,Left anterior axillary line,B,The apex beat is typically located in the left midclavicular line at the fifth intercostal space.
10,"""What does NOT contribute to the dermatome map used for determining levels of anesthesia?""",Spinal nerves,Ventral rami,Vascular supply,Dorsal rami,C,"Vascular supply does not influence dermatome mapping, which is determined by nerve distribution."
11,"""Which structure is NOT part of the superficial cervical plexus?""",Lesser occipital nerve,Greater auricular nerve,Phrenic nerve,Transverse cervical nerve,C,The phrenic nerve is not part of the superficial cervical plexus but originates from the cervical spinal roots.
12,"""In the pelvis, the relationship of nerves to bones is CRITICAL for avoiding injury during which procedure?""",Appendectomy,Hip replacement,Thyroidectomy,Mastectomy,B,Hip replacement surgery requires knowledge of nerve-bone relationships in the pelvis to avoid nerve damage.
13,"""What is the primary sensory nerve at risk during a carotid endarterectomy due to its anatomical location?""",Hypoglossal nerve,Vagus nerve,Accessory nerve,Phrenic nerve,B,The vagus nerve is at risk due to its proximity to the carotid sheath and artery.
14,"""Which vertebral landmark is used for identifying the correct site for a thoracic epidural?""",Spinous process,Vertebra prominens,Transverse process,Sacral promontory,B,The vertebra prominens (C7) is a key landmark for identifying thoracic vertebral levels.
15,"""The internal jugular vein lies lateral to which structure in the neck?""",Esophagus,Thyroid gland,Carotid artery,Trachea,C,The internal jugular vein is typically lateral to the carotid artery in the neck.
16,"""What is the MOST common complication of improperly identifying landmarks during a subclavian vein catheterization?""",Air embolism,Pneumothorax,Hemothorax,Chylothorax,B,Pneumothorax can occur if the pleura is punctured during subclavian vein catheterization.
17,"""Which dermatome is PRIMARILY responsible for sensation to the thumb?""",C6,C7,C8,T1,A,"The C6 dermatome primarily covers the thumb area, important for sensory assessments."
18,"""What anatomical structure does NOT increase the risk of complications during pelvic surgery?""",Sacral promontory,Thoracic duct,Ureters,Major pelvic vessels,B,The thoracic duct is not located in the pelvic area and does not increase risk during pelvic surgery.
19,"""Which nerve is at greatest risk during administration of anesthesia for a femoral hernia repair?""",Femoral nerve,Genitofemoral nerve,Ilioinguinal nerve,Obturator nerve,B,The genitofemoral nerve is at risk due to its path near the femoral canal.
20,"""Identification of which landmark is MOST critical when performing a paravertebral block for thoracic surgery?""",Transverse process,Spinous process,Rib head,Costal margin,A,The transverse process is crucial for needle placement in paravertebral blocks.
